smpl_number,sample,reporter,start_P2A,type,treatment,Figures
GSM9685654,Ribo_miRFP-EGFP-Con_one_P2A_eIF5AKD,S080-Con_one_P2A,1199,ribo-seq,eIF5AKD,
GSM9685655,Ribo_miRFP-EGFP_eIF5AKD,S080,1241,ribo-seq,eIF5AKD,
GSM9685656,Ribo_miRFP-EGFP-LwoHiBiT_one_P2A,S080-LwoHiBiT_one_P2A,1286,ribo-seq,none,
GSM9685657,Ribo_miRFP-EGFP-L_2P2A_No_HiBiT,S080-L_2P2A_No_HiBiT,1328,ribo-seq,none,Figure5B
GSM9685658,Ribo_miRFP-EGFP-Con_one_P2A_No_GSG,S080-Con_one_P2A_No_GSG,1190,ribo-seq,none,Figure1C
GSM9685659,Ribo_miRFP-EGFP-Con_one_P2A_SRI-41315,S080-Con_one_P2A,1199,ribo-seq,SRI-41315,Figure2D
GSM9685660,Ribo_miRFP-EGFP_SRI-41315,S080,1241,ribo-seq,SRI-41315,
GSM9685661,Ribo_miRFP-EGFP-L_one_P2A_eIF5AKD,S080-L_one_P2A,1319,ribo-seq,eIF5AKD,Figure2B
GSM9685662,Ribo_miRFP-EGFP-L_eIF5AKD,S080-L,1361,ribo-seq,eIF5AKD,
GSM9685663,Ribo_miRFP-EGFP-P_one_P2A_eIF5AKD,S080-P_one_P2A,1319,ribo-seq,eIF5AKD,
GSM9685664,Ribo_miRFP-EGFP-P_eIF5AKD,S080-P,1361,ribo-seq,eIF5AKD,
GSM9685665,Ribo_miRFP-EGFP-Con_one_P2A,S080-Con_one_P2A,1199,ribo-seq,none,Figure2D;Figure 1C
GSM9685666,Ribo_miRFP-EGFP,S080,1241,ribo-seq,none,
GSM9685667,Ribo_miRFP-EGFP-P_one_P2A,S080-P_one_P2A,1319,ribo-seq,none,
GSM9685668,Ribo_miRFP-EGFP-L_one_P2A,S080-L_one_P2A,1319,ribo-seq,none,Figure2B
GSM9685669,Ribo_miRFP-EGFP-S_one_P2A,S080-S_one_P2A,1319,ribo-seq,none,
GSM9685670,Ribo_miRFP-EGFP-F_one_P2A,S080-F_one_P2A,1292,ribo-seq,none,
GSM9685671,Ribo_miRFP-EGFP-G1-L_one_P2A,S080-G1-L_one_P2A,1334,ribo-seq,none,
GSM9685672,Ribo_miRFP-EGFP-G3-L_one_P2A,S080-G3-L_one_P2A,1364,ribo-seq,none,
GSM9685673,Ribo_miRFP-EGFP-L_rep1,S080-L,1361,ribo-seq,none,
GSM9685674,Ribo_miRFP-EGFP-L-G1_rep1,S080-L-G1,1376,ribo-seq,none,Figure5B
GSM9685675,Ribo_miRFP-EGFP-L-G3_rep1,S080-L-G3,1406,ribo-seq,none,
GSM9685676,Ribo_miRFP-EGFP-P,S080-P,1361,ribo-seq,none,
GSM9685677,Ribo_miRFP-EGFP-F_rep1,S080-F,1334,ribo-seq,none,
GSM9685678,Ribo_miRFP-EGFP-S_rep1,S080-S,1361,ribo-seq,none,
GSM9685679,Ribo_miRFP-EGFP-F_rep2,S080-F,1334,ribo-seq,none,Figure4B
GSM9685680,Ribo_miRFP-EGFP-S_rep2,S080-S,1361,ribo-seq,none,Figure4B
GSM9685681,Ribo_miRFP-EGFP-L_rep2,S080-L,1361,ribo-seq,none,Figure4B
GSM9685682,Ribo_miRFP-EGFP-L-G1_rep2,S080-L-G1,1376,ribo-seq,none,
GSM9685683,Ribo_miRFP-EGFP-L-G3_rep2,S080-L-G3,1406,ribo-seq,none,Figure5B
GSM9685684,Ribo_miRFP-EGFP-Con_one_P2A_rep2,S080-Con_one_P2A,1199,ribo-seq,none,
GSM9685685,Ribo_miRFP-EGFP-Con_one_P2A_SRI-41315_rep2,S080-Con_one_P2A,1199,ribo-seq,SRI-41315,
GSM9685686,Disome_miRFP-EGFP-Con_one_P2A,S080-Con_one_P2A,1199,disome-seq,none,
GSM9685687,Disome_miRFP-EGFP-Con_one_P2A_SRI-41315,S080-Con_one_P2A,1199,disome-seq,SRI-41315,
